,Year,Commodity,Historical or simulated,Scenario,Mean total minesite cost
497,2017.0,Ag,Simulated,12,129148.7741081384
498,2018.0,Ag,Simulated,12,121356.60465235695
499,2019.0,Ag,Simulated,12,116038.6807454758
500,2001.0,Ag,Simulated,13,274143.1051612767
501,2002.0,Ag,Simulated,13,261661.72854324587
502,2003.0,Ag,Simulated,13,236639.3931391576
503,2004.0,Ag,Simulated,13,225167.71709994704
504,2005.0,Ag,Simulated,13,212284.42990441807
505,2006.0,Ag,Simulated,13,212817.2386911195
506,2007.0,Ag,Simulated,13,216243.4795210982
507,2008.0,Ag,Simulated,13,222821.65132007204
508,2009.0,Ag,Simulated,13,229588.46823229064
509,2010.0,Ag,Simulated,13,234941.17399527063
510,2011.0,Ag,Simulated,13,241527.24173645952
511,2012.0,Ag,Simulated,13,248187.9518939005
512,2013.0,Ag,Simulated,13,251932.29589252712
513,2014.0,Ag,Simulated,13,255921.7211061636
514,2015.0,Ag,Simulated,13,257978.79005013176
515,2016.0,Ag,Simulated,13,262251.5356935229
516,2017.0,Ag,Simulated,13,265100.6536575356
517,2018.0,Ag,Simulated,13,267044.61676878174
518,2019.0,Ag,Simulated,13,267587.94424706633
519,2001.0,Ag,Simulated,14,241860.1190559418
520,2002.0,Ag,Simulated,14,231514.61612638185
521,2003.0,Ag,Simulated,14,220367.0426865109
522,2004.0,Ag,Simulated,14,207809.7963518178
523,2005.0,Ag,Simulated,14,211060.69278038945
