,Variable,Commodity,Year,Historical or simulated,Scenario,Value
444,Total demand,Cu,2018,Simulated,204,28.196153140699717
445,Total demand,Cu,2018,Simulated,226,38.1710882764271
446,Total demand,Cu,2018,Simulated,207,37.556823015285275
447,Total demand,Cu,2018,Simulated,173,27.67113208439531
448,Total demand,Cu,2018,Simulated,329,33.39895426358876
449,Total demand,Cu,2018,Simulated,187,24.87167393572862
450,Total demand,Cu,2018,Simulated,379,29.84056267500586
451,Total demand,Cu,2018,Simulated,97,27.17315200700014
452,Total demand,Cu,2018,Simulated,512,40.5723342207779
453,Total demand,Cu,2018,Simulated,527,28.321686689873196
454,Total demand,Cu,2018,Simulated,560,33.08877333287767
455,Total demand,Cu,2018,Simulated,266,27.333828737932507
456,Total demand,Cu,2018,Simulated,58,31.871439256497247
457,Total demand,Cu,2018,Simulated,262,33.27517730239488
458,Total demand,Cu,2018,Simulated,336,30.862381969958747
459,Total demand,Cu,2018,Simulated,171,30.482344546002096
460,Total demand,Cu,2018,Simulated,220,28.72081215199209
461,Total demand,Cu,2018,Simulated,277,27.24212723837424
462,Total demand,Cu,2018,Simulated,193,23.35097022164828
463,Total demand,Cu,2018,Simulated,157,24.538263585088092
464,Total demand,Cu,2018,Simulated,216,24.392083124086597
465,Total demand,Cu,2018,Simulated,68,26.00333022584279
466,Total demand,Cu,2018,Simulated,345,39.02338931004525
467,Total demand,Cu,2018,Simulated,244,26.531481605391345
468,Total demand,Cu,2019,Historical,Historical,30.0460829493087
469,Total demand,Cu,2019,Simulated,214,33.96409688335365
470,Total demand,Cu,2019,Simulated,204,28.51767818062191
471,Total demand,Cu,2019,Simulated,226,39.77012960909643
472,Total demand,Cu,2019,Simulated,207,38.089308593388985
473,Total demand,Cu,2019,Simulated,173,28.05235353339084
474,Total demand,Cu,2019,Simulated,329,32.310016384102525
475,Total demand,Cu,2019,Simulated,187,25.74818004173407
476,Total demand,Cu,2019,Simulated,379,28.80076730158321
477,Total demand,Cu,2019,Simulated,97,27.514073222289408
478,Total demand,Cu,2019,Simulated,512,41.976209284849396
479,Total demand,Cu,2019,Simulated,527,28.959687651750972
480,Total demand,Cu,2019,Simulated,560,34.115307506602534
